size,cpus,time
200,4,0.0047983
400,4,0.0289891
1000,4,0.4065434
1200,4,1.2007402
800,4,0.8141808
1400,4,2.5290817
1600,4,5.3116113
2000,4,14.1357573
2600,4,34.6956962
3000,4,54.9248596
3600,4,89.5379028
4000,4,111.7824676
5000,4,178.1822741
6000,4,258.9974204
7000,4,375.1660834
100,8,0.0026289
200,8,0.0037555
400,8,0.0213082
1000,8,0.1961763
800,8,0.4484429
1400,8,1.8476121
1200,8,3.7151148
1600,8,6.2785027
2000,8,9.3701627
2600,8,35.7924781
3000,8,53.3588106
3600,8,90.7495888
4000,8,111.7771107
5000,8,175.2814622
6000,8,246.1074133
7000,8,306.2472541
100,10,0.0029279
200,10,0.0038815
800,10,0.0870976
400,10,0.4627977
1400,10,0.7390124
1200,10,2.1242542
1000,10,3.2715447
2000,10,7.1792488
1600,10,6.3345939
2600,10,35.3796074
3000,10,53.1480806
3600,10,95.9562653
4000,10,122.3822129
5000,10,192.762897
6000,10,249.9167686
7000,10,299.2563652
100,16,0.0033555
200,16,0.0060595
400,16,0.0195553
1000,16,0.1557333
1200,16,0.7513731
1400,16,1.62145
800,16,2.6399747
1600,16,3.8942172
2000,16,9.3009327
2600,16,21.0551635
3000,16,39.4379805
3600,16,75.6478116
4000,16,102.7535052
5000,16,171.6981818
6000,16,236.830082
7000,16,286.1067019
100,2,0.0013814
200,2,0.006324
400,2,0.0521957
800,2,0.3950842
1000,2,0.8108251
1200,2,1.6559923
1400,2,2.6737469
1600,2,4.9636584
2000,2,13.1722161
2600,2,36.4026655
3000,2,54.3963606
3600,2,89.9676366
4000,2,117.0383662
5000,2,215.7999216
6000,2,346.9521252
7000,2,587.9005463
100,1,0.0012897
200,1,0.0112783
400,1,0.0907437
800,1,0.818929
1000,1,1.5838981
1200,1,2.9510694
1400,1,4.9858964
1600,1,7.7296413
2000,1,16.3941242
2600,1,48.3137062
3000,1,80.0268618
3600,1,128.949794
4000,1,170.3743512
5000,1,354.861805
6000,1,602.2019526
7000,1,1080.387452
100,2,0.0013862
200,2,0.0094772
400,2,0.0482625
800,2,0.3773747
1000,2,0.8427568
1200,2,1.4765461
1400,2,2.6864635
1600,2,5.2750796
2000,2,13.0296511
2600,2,35.6192683
3000,2,54.184221
3600,2,88.7368538
4000,2,115.4940964
5000,2,211.7351127
6000,2,344.6863704
7000,2,584.1415246
100,4,0.0018517
200,4,0.0045165
400,4,0.0246467
800,4,0.2706876
1000,4,0.6176752
1200,4,1.2388452
1400,4,2.7364743
1600,4,3.3008455
2000,4,11.4588354
2600,4,36.0877098
3000,4,59.3586275
3600,4,66.6291359
4000,4,110.1261352
5000,4,180.747327
6000,4,258.7335028
7000,4,376.5565901
100,8,0.0030132
200,8,0.0038652
400,8,0.0130377
800,8,0.1101054
1000,8,0.1989493
1200,8,0.3618558
1600,8,3.6124456
1400,8,3.9688409
2000,8,11.0852072
2600,8,32.9995169
3000,8,52.5165275
3600,8,81.5775561
4000,8,107.4167244
5000,8,177.0981729
6000,8,244.8459548
7000,8,310.1745699
100,10,0.0025195
200,10,0.0028393
